Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
All Design Rainfall Depth (mm),,,,,,,,,,,,,,,,,,,
Issued:,12-Jul-22,,,,,,,,,,,,,,,,,,
Location Label:,,,,,,,,,,,,,,,,,,,
Requested coordinate:,Latitude,-37.82,Longitude,144.96,,,,,,,,,,,,,,,
Nearest grid cell:,Latitude,37.8125 (S),Longitude,144.9625 (E),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Duration,Duration in min,12EY,6EY,4EY,3EY,2EY,63.20%,50%,0.5EY,20%,0.2EY,10%,5%,2%,1%,1 in 200,1 in 500,1 in 1000,1 in 2000
1 min,1,0.571,0.659,0.825,0.954,1.15,1.55,1.74,1.93,2.4,2.45,2.91,3.46,4.27,4.96,5.71,6.68,7.47,8.32
2 min,2,1,1.15,1.44,1.66,1.99,2.65,2.95,3.28,3.98,4.06,4.78,5.63,6.84,7.87,8.91,10.3,11.4,12.6
3 min,3,1.35,1.56,1.94,2.23,2.69,3.56,3.97,4.41,5.38,5.49,6.47,7.63,9.29,10.7,12.2,14.1,15.7,17.4
4 min,4,1.64,1.9,2.36,2.72,3.27,4.34,4.85,5.38,6.6,6.74,7.95,9.4,11.5,13.3,15.2,17.6,19.7,21.8
5 min,5,1.9,2.19,2.73,3.15,3.78,5,5.6,6.22,7.67,7.83,9.26,11,13.5,15.6,17.9,20.8,23.2,25.8
10 min,10,2.86,3.29,4.08,4.69,5.62,7.42,8.35,9.27,11.6,11.8,14.1,16.7,20.7,24.1,27.8,32.5,36.4,40.7
15 min,15,3.54,4.05,5.01,5.74,6.86,9.04,10.2,11.3,14.2,14.4,17.2,20.5,25.4,29.6,34.2,40,44.8,50
20 min,20,4.07,4.65,5.72,6.55,7.81,10.3,11.6,12.8,16.1,16.4,19.5,23.3,28.8,33.6,38.7,45.3,50.7,56.6
25 min,25,4.51,5.14,6.31,7.21,8.59,11.3,12.7,14.1,17.6,17.9,21.3,25.4,31.5,36.7,42.2,49.4,55.2,61.5
30 min,30,4.88,5.56,6.82,7.78,9.25,12.1,13.6,15.1,18.8,19.2,22.8,27.2,33.6,39.2,45.1,52.6,58.8,65.5
45 min,45,5.79,6.57,8.03,9.14,10.8,14.1,15.8,17.5,21.7,22.1,26.2,31.2,38.4,44.7,51.3,59.8,66.7,74.2
1 hour,60,6.49,7.36,8.96,10.2,12,15.6,17.4,19.4,23.8,24.3,28.7,34.1,41.9,48.6,55.7,64.9,72.4,80.4
1.5 hour,90,7.55,8.56,10.4,11.8,13.9,18,20,22.2,27,27.6,32.5,38.4,47,54.3,62.2,72.5,80.9,89.9
2 hour,120,8.38,9.5,11.5,13.1,15.4,19.8,22,24.4,29.5,30.1,35.4,41.7,50.9,58.7,67.3,78.5,87.7,97.4
3 hour,180,9.64,10.9,13.3,15.1,17.7,22.7,25.1,27.9,33.5,34.2,40,46.9,57.1,65.7,75.5,88.3,98.7,110
4.5 hour,270,11,12.6,15.3,17.3,20.4,26,28.8,31.9,38.3,39.1,45.5,53.2,64.5,74,85.4,100,112,125
6 hour,360,12.1,13.8,16.8,19.1,22.5,28.7,31.7,35.2,42.2,43.1,50.1,58.4,70.7,81,93.7,110,123,138
9 hour,540,13.7,15.7,19.2,21.8,25.7,32.8,36.5,40.5,48.7,49.7,57.7,67.2,81.2,92.7,108,126,142,159
12 hour,720,15,17.1,21,23.9,28.2,36.1,40.2,44.7,54,55.1,64.1,74.5,89.9,102,119,140,157,176
18 hour,1080,16.9,19.3,23.7,27,32,41.1,46.1,51.2,62.6,63.9,74.4,86.4,104,118,137,161,180,201
24 hour,1440,18.3,20.9,25.7,29.3,34.7,44.8,50.6,56.2,69.4,70.8,82.6,95.9,115,131,151,176,197,219
30 hour,1800,19.4,22.2,27.3,31.1,36.9,47.8,54.2,60.2,74.9,76.4,89.3,104,125,141,162,189,210,233
36 hour,2160,20.3,23.2,28.5,32.6,38.7,50.2,57.2,63.5,79.5,81.1,95,110,132,150,171,198,220,243
48 hour,2880,21.7,24.8,30.5,34.9,41.4,54,61.8,68.6,86.7,88.4,104,121,145,163,185,212,234,256
72 hour,4320,23.7,27,33.2,38,45.2,59,67.8,75.3,95.8,97.8,115,135,160,180,200,228,249,271
96 hour,5760,25,28.6,35.1,40.1,47.7,62.2,71.4,79.3,101,103,122,142,169,190,209,236,257,279
120 hour,7200,25.9,29.7,36.6,41.8,49.6,64.4,73.6,81.7,104,106,125,146,174,194,214,242,263,284
144 hour,8640,26.6,30.6,37.8,43.2,51.1,66,75,83.2,105,107,127,148,176,196,217,245,267,289
168 hour,10080,27.2,31.4,38.9,44.4,52.5,67.2,75.8,84.2,105,107,127,149,177,197,219,248,270,293
